CityCode,City,TenureCode,Tenure,CompositionCode,Composition,Observation
E09000001,City of London,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,39
E09000001,City of London,3,Private rented or lives rent free,2,One-person household: Other,1167
E09000001,City of London,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,6
E09000001,City of London,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,233
E09000001,City of London,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,65
E09000001,City of London,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,12
E09000001,City of London,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,427
E09000001,City of London,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,17
E09000001,City of London,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,0
E09000001,City of London,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,23
E09000001,City of London,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,16
E09000001,City of London,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,66
E09000001,City of London,3,Private rented or lives rent free,13,Other household types: With dependent children,6
E09000001,City of London,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",301
E09000002,Barking and Dagenham,-8,Does not apply,-8,Does not apply,0
E09000002,Barking and Dagenham,-8,Does not apply,1,One-person household: Aged 66 years and over,0
E09000002,Barking and Dagenham,-8,Does not apply,2,One-person household: Other,0
E09000002,Barking and Dagenham,-8,Does not apply,3,Single family household: All aged 66 years and over,0
E09000002,Barking and Dagenham,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,0
E09000002,Barking and Dagenham,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,0
E09000002,Barking and Dagenham,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,0
E09000002,Barking and Dagenham,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,0
E09000002,Barking and Dagenham,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,0
E09000002,Barking and Dagenham,-8,Does not apply,9,Single family household: Cohabiting couple family: All children non-dependent,0
E09000002,Barking and Dagenham,-8,Does not apply,10,Single family household: Lone parent family: With dependent children,0
E09000002,Barking and Dagenham,-8,Does not apply,11,Single family household: Lone parent family: All children non-dependent,0
E09000002,Barking and Dagenham,-8,Does not apply,12,Other household types: Other related household: Other family composition,0
E09000002,Barking and Dagenham,-8,Does not apply,13,Other household types: With dependent children,0
E09000002,Barking and Dagenham,-8,Does not apply,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
E09000002,Barking and Dagenham,0,Owned: Owns outright,-8,Does not apply,0
E09000002,Barking and Dagenham,0,Owned: Owns outright,1,One-person household: Aged 66 years and over,2884
E09000002,Barking and Dagenham,0,Owned: Owns outright,2,One-person household: Other,1397
E09000002,Barking and Dagenham,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,1543
E09000002,Barking and Dagenham,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,938
E09000002,Barking and Dagenham,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,606
E09000002,Barking and Dagenham,0,Owned: Owns outright,6,Single family household: Married or civil partnership couple: All children non-dependent,1254
E09000002,Barking and Dagenham,0,Owned: Owns outright,7,Single family household: Cohabiting couple family: No children,190
E09000002,Barking and Dagenham,0,Owned: Owns outright,8,Single family household: Cohabiting couple family: With dependent children,73
E09000002,Barking and Dagenham,0,Owned: Owns outright,9,Single family household: Cohabiting couple family: All children non-dependent,93
E09000002,Barking and Dagenham,0,Owned: Owns outright,10,Single family household: Lone parent family: With dependent children,165
E09000002,Barking and Dagenham,0,Owned: Owns outright,11,Single family household: Lone parent family: All children non-dependent,973
E09000002,Barking and Dagenham,0,Owned: Owns outright,12,Other household types: Other related household: Other family composition,115
E09000002,Barking and Dagenham,0,Owned: Owns outright,13,Other household types: With dependent children,448
E09000002,Barking and Dagenham,0,Owned: Owns outright,14,"Other household types: Other, including all full-time students and all aged 66 years and over",451
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,-8,Does not apply,0
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,1,One-person household: Aged 66 years and over,218
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,2,One-person household: Other,3228
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,3,Single family household: All aged 66 years and over,98
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,4,Single family household: Married or civil partnership couple: No children,1692
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,5,Single family household: Married or civil partnership couple: Dependent children,6715
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,6,Single family household: Married or civil partnership couple: All children non-dependent,1631
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,778
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,956
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,186
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,1119
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,978
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,353
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,2276
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1235
E09000002,Barking and Dagenham,2,Rented: Social rented,-8,Does not apply,0
E09000002,Barking and Dagenham,2,Rented: Social rented,1,One-person household: Aged 66 years and over,2529
E09000002,Barking and Dagenham,2,Rented: Social rented,2,One-person household: Other,4366
E09000002,Barking and Dagenham,2,Rented: Social rented,3,Single family household: All aged 66 years and over,571
E09000002,Barking and Dagenham,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,810
E09000002,Barking and Dagenham,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,2938
E09000002,Barking and Dagenham,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,911
E09000002,Barking and Dagenham,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,446
E09000002,Barking and Dagenham,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,1299
E09000002,Barking and Dagenham,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,280
E09000002,Barking and Dagenham,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,4945
E09000002,Barking and Dagenham,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,2204
E09000002,Barking and Dagenham,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,248
E09000002,Barking and Dagenham,2,Rented: Social rented,13,Other household types: With dependent children,1243
E09000002,Barking and Dagenham,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",485
E09000002,Barking and Dagenham,3,Private rented or lives rent free,-8,Does not apply,0
E09000002,Barking and Dagenham,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,360
E09000002,Barking and Dagenham,3,Private rented or lives rent free,2,One-person household: Other,2521
E09000002,Barking and Dagenham,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,56
E09000002,Barking and Dagenham,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,782
E09000002,Barking and Dagenham,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,4158
E09000002,Barking and Dagenham,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,431
E09000002,Barking and Dagenham,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,591
E09000002,Barking and Dagenham,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,1073
E09000002,Barking and Dagenham,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,51
E09000002,Barking and Dagenham,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,3198
E09000002,Barking and Dagenham,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,534
E09000002,Barking and Dagenham,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,486
E09000002,Barking and Dagenham,3,Private rented or lives rent free,13,Other household types: With dependent children,2365
E09000002,Barking and Dagenham,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1431
E09000003,Barnet,-8,Does not apply,-8,Does not apply,0
E09000003,Barnet,-8,Does not apply,1,One-person household: Aged 66 years and over,0
E09000003,Barnet,-8,Does not apply,2,One-person household: Other,0
E09000003,Barnet,-8,Does not apply,3,Single family household: All aged 66 years and over,0
E09000003,Barnet,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,0
E09000003,Barnet,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,0
E09000003,Barnet,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,0
E09000003,Barnet,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,0
E09000003,Barnet,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,0
E09000003,Barnet,-8,Does not apply,9,Single family household: Cohabiting couple family: All children non-dependent,0
E09000003,Barnet,-8,Does not apply,10,Single family household: Lone parent family: With dependent children,0
E09000003,Barnet,-8,Does not apply,11,Single family household: Lone parent family: All children non-dependent,0
E09000003,Barnet,-8,Does not apply,12,Other household types: Other related household: Other family composition,0
E09000003,Barnet,-8,Does not apply,13,Other household types: With dependent children,0
E09000003,Barnet,-8,Does not apply,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
E09000003,Barnet,0,Owned: Owns outright,-8,Does not apply,0
E09000003,Barnet,0,Owned: Owns outright,1,One-person household: Aged 66 years and over,9615
E09000003,Barnet,0,Owned: Owns outright,2,One-person household: Other,4372
E09000003,Barnet,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,7493
E09000003,Barnet,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,3492
E09000003,Barnet,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,2580
E09000003,Barnet,0,Owned: Owns outright,6,Single family household: Married or civil partnership couple: All children non-dependent,4241
E09000003,Barnet,0,Owned: Owns outright,7,Single family household: Cohabiting couple family: No children,650
E09000003,Barnet,0,Owned: Owns outright,8,Single family household: Cohabiting couple family: With dependent children,213
E09000003,Barnet,0,Owned: Owns outright,9,Single family household: Cohabiting couple family: All children non-dependent,133
E09000003,Barnet,0,Owned: Owns outright,10,Single family household: Lone parent family: With dependent children,548
E09000003,Barnet,0,Owned: Owns outright,11,Single family household: Lone parent family: All children non-dependent,2448
E09000003,Barnet,0,Owned: Owns outright,12,Other household types: Other related household: Other family composition,318
E09000003,Barnet,0,Owned: Owns outright,13,Other household types: With dependent children,1067
E09000003,Barnet,0,Owned: Owns outright,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1913
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,-8,Does not apply,0
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,1,One-person household: Aged 66 years and over,922
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,2,One-person household: Other,6234
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,3,Single family household: All aged 66 years and over,757
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,4,Single family household: Married or civil partnership couple: No children,4221
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,5,Single family household: Married or civil partnership couple: Dependent children,14757
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,6,Single family household: Married or civil partnership couple: All children non-dependent,3351
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,2100
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,1265
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,202
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,1502
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,1369
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,394
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,2057
E09000003,Barnet,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1827
E09000003,Barnet,2,Rented: Social rented,-8,Does not apply,0
E09000003,Barnet,2,Rented: Social rented,1,One-person household: Aged 66 years and over,2837
E09000003,Barnet,2,Rented: Social rented,2,One-person household: Other,4342
E09000003,Barnet,2,Rented: Social rented,3,Single family household: All aged 66 years and over,518
E09000003,Barnet,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,607
E09000003,Barnet,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,2266
E09000003,Barnet,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,991
E09000003,Barnet,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,307
E09000003,Barnet,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,518
E09000003,Barnet,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,203
E09000003,Barnet,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,3419
E09000003,Barnet,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,2325
E09000003,Barnet,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,250
E09000003,Barnet,2,Rented: Social rented,13,Other household types: With dependent children,791
E09000003,Barnet,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",661
E09000003,Barnet,3,Private rented or lives rent free,-8,Does not apply,0
E09000003,Barnet,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,1834
E09000003,Barnet,3,Private rented or lives rent free,2,One-person household: Other,11502
E09000003,Barnet,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,496
E09000003,Barnet,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,3609
E09000003,Barnet,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,9433
E09000003,Barnet,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,1177
E09000003,Barnet,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,3659
E09000003,Barnet,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,1569
E09000003,Barnet,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,107
E09000003,Barnet,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,5007
E09000003,Barnet,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,1483
E09000003,Barnet,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,1256
E09000003,Barnet,3,Private rented or lives rent free,13,Other household types: With dependent children,2553
E09000003,Barnet,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",5157
E09000004,Bexley,-8,Does not apply,-8,Does not apply,0
E09000004,Bexley,-8,Does not apply,1,One-person household: Aged 66 years and over,0
E09000004,Bexley,-8,Does not apply,2,One-person household: Other,0
E09000004,Bexley,-8,Does not apply,3,Single family household: All aged 66 years and over,0
E09000004,Bexley,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,0
E09000004,Bexley,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,0
E09000004,Bexley,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,0
E09000004,Bexley,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,0
E09000004,Bexley,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,0
E09000004,Bexley,-8,Does not apply,9,Single family household: Cohabiting couple family: All children non-dependent,0
E09000004,Bexley,-8,Does not apply,10,Single family household: Lone parent family: With dependent children,0
E09000004,Bexley,-8,Does not apply,11,Single family household: Lone parent family: All children non-dependent,0
E09000004,Bexley,-8,Does not apply,12,Other household types: Other related household: Other family composition,0
E09000004,Bexley,-8,Does not apply,13,Other household types: With dependent children,0
E09000004,Bexley,-8,Does not apply,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
E09000004,Bexley,0,Owned: Owns outright,-8,Does not apply,0
E09000004,Bexley,0,Owned: Owns outright,1,One-person household: Aged 66 years and over,8672
E09000004,Bexley,0,Owned: Owns outright,2,One-person household: Other,2720
E09000004,Bexley,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,6832
E09000004,Bexley,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,3438
E09000004,Bexley,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,1126
E09000004,Bexley,0,Owned: Owns outright,6,Single family household: Married or civil partnership couple: All children non-dependent,3397
E09000004,Bexley,0,Owned: Owns outright,7,Single family household: Cohabiting couple family: No children,627
E09000004,Bexley,0,Owned: Owns outright,8,Single family household: Cohabiting couple family: With dependent children,224
E09000004,Bexley,0,Owned: Owns outright,9,Single family household: Cohabiting couple family: All children non-dependent,204
E09000004,Bexley,0,Owned: Owns outright,10,Single family household: Lone parent family: With dependent children,318
E09000004,Bexley,0,Owned: Owns outright,11,Single family household: Lone parent family: All children non-dependent,1867
E09000004,Bexley,0,Owned: Owns outright,12,Other household types: Other related household: Other family composition,191
E09000004,Bexley,0,Owned: Owns outright,13,Other household types: With dependent children,671
E09000004,Bexley,0,Owned: Owns outright,14,"Other household types: Other, including all full-time students and all aged 66 years and over",926
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,-8,Does not apply,0
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,1,One-person household: Aged 66 years and over,514
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,2,One-person household: Other,4559
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,3,Single family household: All aged 66 years and over,345
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,4,Single family household: Married or civil partnership couple: No children,3444
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,5,Single family household: Married or civil partnership couple: Dependent children,11699
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,6,Single family household: Married or civil partnership couple: All children non-dependent,3060
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,2499
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,2586
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,439
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,1579
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,1369
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,227
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,1773
E09000004,Bexley,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1376
E09000004,Bexley,2,Rented: Social rented,-8,Does not apply,0
E09000004,Bexley,2,Rented: Social rented,1,One-person household: Aged 66 years and over,2145
E09000004,Bexley,2,Rented: Social rented,2,One-person household: Other,2725
E09000004,Bexley,2,Rented: Social rented,3,Single family household: All aged 66 years and over,403
E09000004,Bexley,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,526
E09000004,Bexley,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,1234
E09000004,Bexley,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,568
E09000004,Bexley,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,280
E09000004,Bexley,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,674
E09000004,Bexley,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,156
E09000004,Bexley,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,3058
E09000004,Bexley,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,1210
E09000004,Bexley,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,111
E09000004,Bexley,2,Rented: Social rented,13,Other household types: With dependent children,583
E09000004,Bexley,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",304
E09000004,Bexley,3,Private rented or lives rent free,-8,Does not apply,0
E09000004,Bexley,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,637
E09000004,Bexley,3,Private rented or lives rent free,2,One-person household: Other,2781
E09000004,Bexley,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,150
E09000004,Bexley,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,707
E09000004,Bexley,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,2312
E09000004,Bexley,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,294
E09000004,Bexley,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,1044
E09000004,Bexley,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,1080
E09000004,Bexley,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,85
E09000004,Bexley,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,2710
E09000004,Bexley,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,570
